g_id,hpo_ids
ABCG5,"['HP:0010874', 'HP:0033341', 'HP:0000007', 'HP:0005181', 'HP:0003124']"
ABCG8,"['HP:0004870', 'HP:0031290', 'HP:0001677', 'HP:0008158', 'HP:0001923', 'HP:0000007', 'HP:0001369', 'HP:0003540', 'HP:0001392', 'HP:0001081', 'HP:0002027', 'HP:0004802', 'HP:0003124', 'HP:0010982', 'HP:0033341', 'HP:0001902', 'HP:0004446', 'HP:0001744', 'HP:0001892', 'HP:0002829']"
ABHD12,"['HP:0001347', 'HP:0000639', 'HP:0002936', 'HP:0000648', 'HP:0000762', 'HP:0001761', 'HP:0003674', 'HP:0002080', 'HP:0000523', 'HP:0001257', 'HP:0001310', 'HP:0000007', 'HP:0001771', 'HP:0003693', 'HP:0003487', 'HP:0000407', 'HP:0000510', 'HP:0007141', 'HP:0001271', 'HP:0003677', 'HP:0001265', 'HP:0001272', 'HP:0001251', 'HP:0001260']"
ABHD5,"['HP:0000656', 'HP:0000639', 'HP:0001397', 'HP:0000523', 'HP:0000407', 'HP:0008551', 'HP:0001871', 'HP:0000486', 'HP:0000007', 'HP:0001324', 'HP:0001596', 'HP:0001251', 'HP:0003198', 'HP:0001249', 'HP:0002240', 'HP:0007479', 'HP:0000232']"
ABL1,"['HP:0000776', 'HP:0001631', 'HP:0000218', 'HP:0002107', 'HP:0000963', 'HP:0004848', 'HP:0000670', 'HP:0000678', 'HP:0002566', 'HP:0000965', 'HP:0000490', 'HP:0003196', 'HP:0000331', 'HP:0004852', 'HP:0001763', 'HP:0000006', 'HP:0012385', 'HP:0001511', 'HP:0000307', 'HP:0040019', 'HP:0000460', 'HP:0001629', 'HP:0005506', 'HP:0002650', 'HP:0001508', 'HP:0004322', 'HP:0001680', 'HP:0000977', 'HP:0001428', 'HP:0000767', 'HP:0002019', 'HP:0000047', 'HP:0002010', 'HP:0002023', 'HP:0001166', 'HP:0003189', 'HP:0001263', 'HP:0000028', 'HP:0000337']"
ACACA,"['HP:0000007', 'HP:0001290', 'HP:0003198', 'HP:0001510']"
ACAD8,"['HP:0003234', 'HP:0000007', 'HP:0001903', 'HP:0001252', 'HP:0001644']"
ACAD9,"['HP:0001873', 'HP:0003128', 'HP:0001290', 'HP:0001639', 'HP:0000007', 'HP:0001298', 'HP:0001943', 'HP:0001324', 'HP:0001399', 'HP:0001414', 'HP:0001635', 'HP:0003546', 'HP:0002181', 'HP:0001644', 'HP:0002910', 'HP:0003215', 'HP:0001297']"
ACADM,"['HP:0001263', 'HP:0003234', 'HP:0001397', 'HP:0001290', 'HP:0001254', 'HP:0001942', 'HP:0008309', 'HP:0000007', 'HP:0001250', 'HP:0002013', 'HP:0001943', 'HP:0001252', 'HP:0003108', 'HP:0002181', 'HP:0002240', 'HP:0002910', 'HP:0001259']"
ACADS,"['HP:0002500', 'HP:0001638', 'HP:0008872', 'HP:0003219', 'HP:0000007', 'HP:0001252', 'HP:0003198', 'HP:0003623', 'HP:0004911', 'HP:0001290', 'HP:0001254', 'HP:0002650', 'HP:0000709', 'HP:0001508', 'HP:0001371', 'HP:0010628', 'HP:0000590', 'HP:0001250', 'HP:0000750', 'HP:0001263']"
