g_id,omim_id,hpo_ids
ABCB7,OMIM:301310,"['HP:0001260', 'HP:0002169', 'HP:0001924', 'HP:0003621', 'HP:0001419', 'HP:0002470', 'HP:0002075', 'HP:0002080', 'HP:0001939', 'HP:0001310', 'HP:0003487', 'HP:0004840']"
ABCC1,OMIM:618915,"['HP:0000006', 'HP:0000407']"
ABCC2,OMIM:237500,"['HP:0002908', 'HP:0000007', 'HP:0000952', 'HP:0001080']"
ABCC6,OMIM:177850,"['HP:0001342', 'HP:0005297', 'HP:0001634', 'HP:0001681', 'HP:0001102', 'HP:0002705', 'HP:0002808', 'HP:0000592', 'HP:0007663', 'HP:0012457', 'HP:0000218', 'HP:0002650', 'HP:0002239', 'HP:0004966', 'HP:0000006', 'HP:0025533', 'HP:0000608', 'HP:0000505', 'HP:0000573', 'HP:0025507', 'HP:0000766', 'HP:0005462', 'HP:0000545', 'HP:0002634']"
ABCC6,OMIM:264800,"['HP:0001635', 'HP:0007663', 'HP:0002239', 'HP:0004943', 'HP:0011506', 'HP:0001681', 'HP:0032553', 'HP:0001718', 'HP:0001102', 'HP:0000608', 'HP:0033027', 'HP:0045051', 'HP:0001634', 'HP:0000973', 'HP:0001723', 'HP:0012426', 'HP:0033026', 'HP:0100817', 'HP:0001677', 'HP:0025115', 'HP:0025507', 'HP:0000007', 'HP:0000573', 'HP:0004417', 'HP:0004417', 'HP:0001297', 'HP:0001297']"
ABCC6,OMIM:614473,"['HP:0000007', 'HP:0000822', 'HP:0004912', 'HP:0001658', 'HP:0001635', 'HP:0001717', 'HP:0000121']"
ABCC8,OMIM:125853,"['HP:0003584', 'HP:0005978', 'HP:0000855', 'HP:0031819', 'HP:0000006']"
ABCC8,OMIM:240800,"['HP:0000737', 'HP:0000825', 'HP:0001251', 'HP:0002329', 'HP:0000006', 'HP:0001347', 'HP:0001249', 'HP:0001259', 'HP:0000486', 'HP:0001250', 'HP:0001943', 'HP:0001257']"
ABCC8,OMIM:256450,"['HP:0000007', 'HP:0001425', 'HP:0001520', 'HP:0000825', 'HP:0001325', 'HP:0004510', 'HP:0001249', 'HP:0000006', 'HP:0002173']"
ABCC8,OMIM:610374,"['HP:0005978', 'HP:0008255', 'HP:0000006']"
ABCC8,OMIM:618857,"['HP:0002305', 'HP:0100651', 'HP:0000007', 'HP:0001290', 'HP:0011182', 'HP:0003698', 'HP:0012434', 'HP:0003076', 'HP:0001324', 'HP:0003074', 'HP:0001518', 'HP:0002919', 'HP:0001270', 'HP:0000006']"
ABCC9,OMIM:239850,"['HP:0000286', 'HP:0000212', 'HP:0004975', 'HP:0000256', 'HP:0000006', 'HP:0001698', 'HP:0003300', 'HP:0007665', 'HP:0008822', 'HP:0004634', 'HP:0000215', 'HP:0010055', 'HP:0001256', 'HP:0001640', 'HP:0003016', 'HP:0000470', 'HP:0000527', 'HP:0005129', 'HP:0000926', 'HP:0005280', 'HP:0000774', 'HP:0001647', 'HP:0000179', 'HP:0002673', 'HP:0000343', 'HP:0000431', 'HP:0001643', 'HP:0010068', 'HP:0000280', 'HP:0011220', 'HP:0001520', 'HP:0000939', 'HP:0001004', 'HP:0004540', 'HP:0010109', 'HP:0002690', 'HP:0005445', 'HP:0001537', 'HP:0000463', 'HP:0002750']"
ABCC9,OMIM:608569,"['HP:0000006', 'HP:0001644', 'HP:0006670', 'HP:0004756']"
ABCC9,OMIM:614050,"['HP:0004757', 'HP:0000006', 'HP:0003596']"
ABCC9,OMIM:619719,"['HP:0002172', 'HP:0030891', 'HP:0000007', 'HP:0005590', 'HP:0001566', 'HP:0000601', 'HP:0033204', 'HP:0000219', 'HP:0000739', 'HP:0000965', 'HP:0011081', 'HP:0001252', 'HP:0001047', 'HP:0001771', 'HP:0001374', 'HP:0000639', 'HP:0500093', 'HP:0003577', 'HP:0000689', 'HP:0002395', 'HP:0000957', 'HP:0025169', 'HP:0002938', 'HP:0002650', 'HP:0010535', 'HP:0000455', 'HP:0000336', 'HP:0001377', 'HP:0003593', 'HP:0012378', 'HP:0012368']"
ABCD1,OMIM:300100,"['HP:0002839', 'HP:0000618', 'HP:0002371', 'HP:0002607', 'HP:0002311', 'HP:0006938', 'HP:0000135', 'HP:0007018', 'HP:0002078', 'HP:0002180', 'HP:0000020', 'HP:0000802', 'HP:0002500', 'HP:0002385', 'HP:0001258', 'HP:0001271', 'HP:0007340', 'HP:0001283', 'HP:0000709', 'HP:0000365', 'HP:0008207', 'HP:0000572', 'HP:0001250', 'HP:0003676', 'HP:0000953', 'HP:0001596', 'HP:0000726', 'HP:0001350', 'HP:0001419', 'HP:0002070', 'HP:0003455']"
ABCD3,OMIM:616278,"['HP:0002240', 'HP:0006580', 'HP:0000952', 'HP:0001409', 'HP:0002910', 'HP:0000007', 'HP:0003593', 'HP:0002904', 'HP:0003676', 'HP:0001395', 'HP:0001399', 'HP:0012202', 'HP:0001744', 'HP:0003645', 'HP:0025196', 'HP:0001891']"
ABCD4,OMIM:614857,"['HP:0000023', 'HP:0002533', 'HP:0011968', 'HP:0001631', 'HP:0001263', 'HP:0012120', 'HP:0001254', 'HP:0003577', 'HP:0000007', 'HP:0000347', 'HP:0006610', 'HP:0002789', 'HP:0003145', 'HP:0002912', 'HP:0002160', 'HP:0001510', 'HP:0001903', 'HP:0001290', 'HP:0002059', 'HP:0000316', 'HP:0001875', 'HP:0001680', 'HP:0000028', 'HP:0001873', 'HP:0002020', 'HP:0003223', 'HP:0003524', 'HP:0002092', 'HP:0002156']"
ABCG5,OMIM:618666,"['HP:0003124', 'HP:0003124', 'HP:0010874', 'HP:0010874', 'HP:0005181', 'HP:0000007', 'HP:0033341']"
ABCG8,OMIM:210250,"['HP:0001369', 'HP:0000007', 'HP:0001392', 'HP:0031290', 'HP:0002027', 'HP:0001744', 'HP:0008158', 'HP:0001902', 'HP:0003124', 'HP:0003540', 'HP:0004446', 'HP:0001923', 'HP:0004870', 'HP:0001892', 'HP:0001677', 'HP:0033341', 'HP:0002829', 'HP:0004802']"
ABCG8,OMIM:611465,"['HP:0001081', 'HP:0010982']"
ABHD12,OMIM:612674,"['HP:0003693', 'HP:0003674', 'HP:0003677', 'HP:0000007', 'HP:0001310', 'HP:0000407', 'HP:0000762', 'HP:0002080', 'HP:0001771', 'HP:0007141', 'HP:0001265', 'HP:0000510', 'HP:0001347', 'HP:0003487', 'HP:0000639', 'HP:0001260', 'HP:0001761', 'HP:0000648', 'HP:0000523', 'HP:0001271', 'HP:0001272', 'HP:0001251', 'HP:0002936', 'HP:0001257']"
ABHD5,OMIM:275630,"['HP:0000232', 'HP:0003198', 'HP:0000656', 'HP:0001871', 'HP:0001324', 'HP:0001249', 'HP:0001397', 'HP:0001251', 'HP:0000639', 'HP:0000523', 'HP:0002240', 'HP:0000407', 'HP:0000007', 'HP:0008551', 'HP:0007479', 'HP:0000486', 'HP:0001596']"
ABL1,OMIM:608232,"['HP:0004852', 'HP:0004848', 'HP:0001428', 'HP:0005506']"
ABL1,OMIM:617602,"['HP:0000963', 'HP:0000977', 'HP:0001511', 'HP:0000006', 'HP:0000670', 'HP:0012385', 'HP:0000678', 'HP:0000218', 'HP:0003189', 'HP:0001680', 'HP:0000460', 'HP:0040019', 'HP:0001763', 'HP:0002010', 'HP:0002023', 'HP:0001166', 'HP:0001263', 'HP:0001629', 'HP:0000776', 'HP:0002566', 'HP:0000337', 'HP:0000047', 'HP:0000331', 'HP:0002650', 'HP:0003196', 'HP:0000307', 'HP:0001508', 'HP:0001631', 'HP:0002107', 'HP:0004322', 'HP:0000028', 'HP:0000767', 'HP:0002019', 'HP:0000490', 'HP:0000965']"
ACACA,OMIM:613933,"['HP:0001290', 'HP:0001510', 'HP:0003198', 'HP:0000007']"
ACAD8,OMIM:611283,"['HP:0001903', 'HP:0003234', 'HP:0000007', 'HP:0001644', 'HP:0001252']"
ACAD9,OMIM:611126,"['HP:0001324', 'HP:0001414', 'HP:0002910', 'HP:0001290', 'HP:0001644', 'HP:0001297', 'HP:0001639', 'HP:0003215', 'HP:0000007', 'HP:0003128', 'HP:0001298', 'HP:0001943', 'HP:0002181', 'HP:0001399', 'HP:0001635', 'HP:0001873', 'HP:0003546']"
ACADM,OMIM:201450,"['HP:0001259', 'HP:0001397', 'HP:0001942', 'HP:0001942', 'HP:0000007', 'HP:0002910', 'HP:0001252', 'HP:0002181', 'HP:0001263', 'HP:0008309', 'HP:0001250', 'HP:0002013', 'HP:0001254', 'HP:0001943', 'HP:0003108', 'HP:0002240', 'HP:0001290', 'HP:0003234']"
ACADS,OMIM:201470,"['HP:0001263', 'HP:0000590', 'HP:0000007', 'HP:0000709', 'HP:0003219', 'HP:0001290', 'HP:0003198', 'HP:0001254', 'HP:0002500', 'HP:0003623', 'HP:0001252', 'HP:0008872', 'HP:0004911', 'HP:0001250', 'HP:0001508', 'HP:0010628', 'HP:0001371', 'HP:0001638', 'HP:0002650', 'HP:0000750']"
ACADSB,OMIM:610006,"['HP:0001290', 'HP:0001943', 'HP:0001252', 'HP:0003700', 'HP:0001263', 'HP:0001270', 'HP:0002045', 'HP:0001250', 'HP:0000252', 'HP:0001254', 'HP:0003593', 'HP:0000577', 'HP:0000007', 'HP:0005949']"
ACADVL,OMIM:201475,"['HP:0001987', 'HP:0001645', 'HP:0002069', 'HP:0003234', 'HP:0008305', 'HP:0000007', 'HP:0001252', 'HP:0002789', 'HP:0002020', 'HP:0002572', 'HP:0000252', 'HP:0003623', 'HP:0003236', 'HP:0012664', 'HP:0001640', 'HP:0003593', 'HP:0033165', 'HP:0003215', 'HP:0001639', 'HP:0001958', 'HP:0001254', 'HP:0001324', 'HP:0001522', 'HP:0001404', 'HP:0001397', 'HP:0001405', 'HP:0003552', 'HP:0002240', 'HP:0003738', 'HP:0009045', 'HP:0005943']"
ACAN,OMIM:165800,"['HP:0005280', 'HP:0002938', 'HP:0000006', 'HP:0002007', 'HP:0008843', 'HP:0005616', 'HP:0011800', 'HP:0001507', 'HP:0009778', 'HP:0001156', 'HP:0010055', 'HP:0004322', 'HP:0100777', 'HP:0002515', 'HP:0002758']"
ACAN,OMIM:608361,"['HP:0002750', 'HP:0002970', 'HP:0002857', 'HP:0002655', 'HP:0003370', 'HP:0003508', 'HP:0000006', 'HP:0000926']"
ACAN,OMIM:612813,"['HP:0000272', 'HP:0003027', 'HP:0010582', 'HP:0005285', 'HP:0001609', 'HP:0004482', 'HP:0001388', 'HP:0000007', 'HP:0009381', 'HP:0001156', 'HP:0011800', 'HP:0008905', 'HP:0000926', 'HP:0000303', 'HP:0011304', 'HP:0025428', 'HP:0001552', 'HP:0000368', 'HP:0002651', 'HP:0003016', 'HP:0002938', 'HP:0000470']"
ACAT1,OMIM:203750,"['HP:0002013', 'HP:0001944', 'HP:0001249', 'HP:0000007', 'HP:0005974']"
ACAT2,OMIM:614055,"['HP:0002072', 'HP:0003542', 'HP:0003745', 'HP:0001263', 'HP:0002151', 'HP:0001290']"
ACBD5,OMIM:618863,"['HP:0001583', 'HP:0000007', 'HP:0001260', 'HP:0002515', 'HP:0003429', 'HP:0002527', 'HP:0003391', 'HP:0000601', 'HP:0009904', 'HP:0000510', 'HP:0030147', 'HP:0000253', 'HP:0000750', 'HP:0008167', 'HP:0000175', 'HP:0001488', 'HP:0001270', 'HP:0001310']"
